                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7772,                 4.1065,                 1.8304,                0.00713,                0.47427,                0.08605,                0.05183,                 1.8665,                 3.9052,                 1.8545,             0.00019223,             0.00019223,             0.00019223
                      2,                 1.7573,                 3.5566,                 1.8023,                0.54504,                0.13785,                0.15088,                0.08598,                 2.1104,                 3.3092,                 2.0118,             0.00037542,             0.00037542,             0.00037542
                      3,                 1.7828,                 3.2457,                 1.8134,                0.33135,                0.23537,                0.19446,                0.09991,                 2.0953,                 3.4103,                 2.0917,             0.00054567,             0.00054567,             0.00054567
                      4,                 1.7291,                 3.0348,                 1.7902,                0.26914,                0.22695,                0.19773,                 0.0977,                 2.1113,                 3.1712,                 2.0872,             0.00052979,             0.00052979,             0.00052979
                      5,                 1.7853,                 2.8542,                 1.7915,                0.33754,                0.25852,                0.21714,                0.10756,                 2.0545,                 3.1279,                 2.1257,             0.00052979,             0.00052979,             0.00052979
                      6,                 1.7235,                 2.6998,                  1.759,                0.48351,                0.25661,                0.24874,                0.12362,                 2.1994,                  3.074,                 2.1981,             0.00051038,             0.00051038,             0.00051038
                      7,                 1.6901,                 2.6354,                 1.7374,                0.56563,                 0.2042,                0.29148,                0.15222,                 2.0823,                 2.8527,                 2.1127,             0.00049098,             0.00049098,             0.00049098
                      8,                 1.6923,                 2.5364,                 1.7237,                0.46569,                0.32316,                0.30457,                0.15862,                 2.0575,                 2.8748,                 2.0663,             0.00047158,             0.00047158,             0.00047158
                      9,                 1.6484,                 2.4557,                 1.7229,                0.54166,                0.25713,                0.31959,                0.15945,                 1.9497,                 3.1367,                 2.0546,             0.00045217,             0.00045217,             0.00045217
                     10,                 1.6332,                 2.3146,                 1.6769,                0.61313,                0.31744,                0.35328,                0.17853,                 1.9924,                  2.927,                 2.0136,             0.00043277,             0.00043277,             0.00043277
                     11,                  1.588,                 2.2526,                 1.6212,                0.41578,                 0.3583,                0.38218,                0.19259,                 2.0399,                 2.6311,                 2.0082,             0.00041336,             0.00041336,             0.00041336
                     12,                 1.5539,                 2.1543,                 1.6292,                0.47115,                0.37449,                0.35162,                 0.1895,                 2.0035,                 2.5588,                 2.0335,             0.00039396,             0.00039396,             0.00039396
                     13,                  1.532,                 2.0932,                 1.6057,                0.66869,                0.34234,                0.38774,                0.20046,                 1.9577,                  2.631,                 2.0268,             0.00037456,             0.00037456,             0.00037456
                     14,                 1.5253,                 2.0311,                 1.5839,                0.53531,                0.33007,                0.35744,                0.18485,                 1.9843,                  2.639,                   2.01,             0.00035515,             0.00035515,             0.00035515
                     15,                 1.5074,                 1.9926,                 1.5723,                0.46187,                0.43008,                0.40632,                 0.2176,                 2.0153,                 2.5344,                 2.0596,             0.00033575,             0.00033575,             0.00033575
                     16,                 1.4518,                 1.9068,                 1.5351,                0.45562,                0.37013,                0.36482,                0.19063,                 2.0185,                 2.5287,                 1.9855,             0.00031634,             0.00031634,             0.00031634
                     17,                 1.4649,                 1.8649,                 1.5433,                0.64335,                0.34567,                0.40367,                0.21621,                 1.9668,                 2.4019,                 2.0047,             0.00029694,             0.00029694,             0.00029694
                     18,                  1.452,                 1.8437,                 1.5465,                0.58451,                0.35482,                0.39914,                 0.2163,                 1.9242,                 2.5377,                  1.941,             0.00027754,             0.00027754,             0.00027754
                     19,                 1.4335,                 1.7885,                 1.5063,                0.52012,                0.35503,                0.40301,                 0.2153,                  1.955,                 2.3963,                  1.959,             0.00025813,             0.00025813,             0.00025813
